Bird Name,Recording #,Title,Source,URL,Audio URL,Location,Recordist,Quality
Wood Thrush,1,Wood Thrush - song,Xeno-canto,https://www.xeno-canto.org/1013067,https://xeno-canto.org/1013067/download,"Réserve nationale de faune du cap Tourmente, La Côte-de-Beaupré, Québec",Stanislas Wroza,A
Wood Thrush,2,Wood Thrush - song,Xeno-canto,https://www.xeno-canto.org/1013066,https://xeno-canto.org/1013066/download,"Réserve nationale de faune du cap Tourmente, La Côte-de-Beaupré, Québec",Stanislas Wroza,A
Wood Thrush,3,Wood Thrush - song,Xeno-canto,https://www.xeno-canto.org/1013065,https://xeno-canto.org/1013065/download,"Réserve nationale de faune du cap Tourmente, La Côte-de-Beaupré, Québec",Stanislas Wroza,A
Black-throated Blue Warbler,1,Black-throated Blue Warbler - flight call,Xeno-canto,https://www.xeno-canto.org/1013892,https://xeno-canto.org/1013892/download,"Stationnement des dunes (near  Tadoussac), Côte-Nord, Québec",Stanislas Wroza,A
Black-throated Blue Warbler,2,Black-throated Blue Warbler - song,Xeno-canto,https://www.xeno-canto.org/1013122,https://xeno-canto.org/1013122/download,"Réserve nationale de faune du cap Tourmente, La Côte-de-Beaupré, Québec",Stanislas Wroza,A
Black-throated Blue Warbler,3,Black-throated Blue Warbler - song,Xeno-canto,https://www.xeno-canto.org/1013121,https://xeno-canto.org/1013121/download,"Réserve nationale de faune du cap Tourmente, La Côte-de-Beaupré, Québec",Stanislas Wroza,A
Scarlet Tanager,1,Scarlet Tanager - song,Xeno-canto,https://www.xeno-canto.org/564227,https://xeno-canto.org/564227/download,"Lunenburg, Lunenburg County, Nova Scotia",K Lantz,no score
Scarlet Tanager,2,Scarlet Tanager - nocturnal flight call,Xeno-canto,https://www.xeno-canto.org/549864,https://xeno-canto.org/549864/download,"Houston, Harris County, Texas",Cin-Ty Lee,no score
Scarlet Tanager,3,"Scarlet Tanager - alarm call, call, flight call, chip-burr",Xeno-canto,https://www.xeno-canto.org/1013158,https://xeno-canto.org/1013158/download,"Réserve nationale de faune du cap Tourmente, La Côte-de-Beaupré, Québec",Stanislas Wroza,A
Rose-breasted Grosbeak,1,"Rose-breasted Grosbeak - call, squeaky calls",Xeno-canto,https://www.xeno-canto.org/1015048,https://xeno-canto.org/1015048/download,"La Haute-Yamaska (near  Shefford), Estrie, Québec",Stanislas Wroza,A
Rose-breasted Grosbeak,2,"Rose-breasted Grosbeak - call, song",Xeno-canto,https://www.xeno-canto.org/1015047,https://xeno-canto.org/1015047/download,"La Haute-Yamaska (near  Shefford), Estrie, Québec",Stanislas Wroza,A
Rose-breasted Grosbeak,3,Rose-breasted Grosbeak - flight call,Xeno-canto,https://www.xeno-canto.org/1015046,https://xeno-canto.org/1015046/download,"La Haute-Yamaska (near  Shefford), Estrie, Québec",Stanislas Wroza,A
Veery,1,"Veery - call, distress call",Xeno-canto,https://www.xeno-canto.org/531130,https://xeno-canto.org/531130/download,"São Desidério, Bahia",Sandro Paulino de Faria,no score
Veery,2,Veery - call,Xeno-canto,https://www.xeno-canto.org/508264,https://xeno-canto.org/508264/download,"Yard, Boca del Drago, Isla Colon, Bocas del Toro",JP Wade,no score
Veery,3,Veery - call,Xeno-canto,https://www.xeno-canto.org/484555,https://xeno-canto.org/484555/download,"Beaver Lake Nature Center, Baldwinsville, Onondaga County, New York",Molly Jacobson,no score
Hermit Thrush,1,Hermit Thrush - song,Xeno-canto,https://www.xeno-canto.org/1015003,https://xeno-canto.org/1015003/download,"Bécancour Regional County Municipality (near  Bécancour), Centre-du-Québec, Quebec",Stanislas Wroza,A
Hermit Thrush,2,Hermit Thrush - song,Xeno-canto,https://www.xeno-canto.org/1015002,https://xeno-canto.org/1015002/download,"Bécancour Regional County Municipality (near  Bécancour), Centre-du-Québec, Quebec",Stanislas Wroza,A
Hermit Thrush,3,Hermit Thrush - song,Xeno-canto,https://www.xeno-canto.org/1015001,https://xeno-canto.org/1015001/download,"Bécancour Regional County Municipality (near  Bécancour), Centre-du-Québec, Quebec",Stanislas Wroza,A
Black-capped Chickadee,1,Black-capped Chickadee - call,Xeno-canto,https://www.xeno-canto.org/544967,https://xeno-canto.org/544967/download,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",Thomas Magarian,no score
Black-capped Chickadee,2,Black-capped Chickadee - call,Xeno-canto,https://www.xeno-canto.org/544964,https://xeno-canto.org/544964/download,"Kelley Point Park, North Portland, Multnomah County, Oregon",Thomas Magarian,no score
Black-capped Chickadee,3,Black-capped Chickadee - song,Xeno-canto,https://www.xeno-canto.org/544963,https://xeno-canto.org/544963/download,"Kelley Point Park, North Portland, Multnomah County, Oregon",Thomas Magarian,no score
Musician Wren,1,Musician Wren - song,Xeno-canto,https://www.xeno-canto.org/984287,https://xeno-canto.org/984287/download,"Rio Bigal Reserve, Orellana",Marc Anderson,A
Musician Wren,2,Musician Wren - song,Xeno-canto,https://www.xeno-canto.org/984286,https://xeno-canto.org/984286/download,"Rio Bigal Reserve, Orellana",Marc Anderson,A
Musician Wren,3,Musician Wren - song,Xeno-canto,https://www.xeno-canto.org/905037,https://xeno-canto.org/905037/download,Floresta Nacional de Tefé,Thiago Bicudo,A
Screaming Piha,1,Screaming Piha - call,Xeno-canto,https://www.xeno-canto.org/1004625,https://xeno-canto.org/1004625/download,"Kaw, débaracadère",Christian Kerihuel,A
Screaming Piha,2,Screaming Piha - song,Xeno-canto,https://www.xeno-canto.org/984291,https://xeno-canto.org/984291/download,"Rio Bigal Reserve, Orellana",Marc Anderson,A
Screaming Piha,3,Screaming Piha - song,Xeno-canto,https://www.xeno-canto.org/984290,https://xeno-canto.org/984290/download,"Rio Bigal Reserve, Orellana",Marc Anderson,A
White-bellied Antbird,1,White-bellied Antbird - song,Xeno-canto,https://www.xeno-canto.org/544567,https://xeno-canto.org/544567/download,"Mana Dulce, Cundinamarca",Jerome Fischer,no score
White-bellied Antbird,2,White-bellied Antbird - song,Xeno-canto,https://www.xeno-canto.org/532177,https://xeno-canto.org/532177/download,"Mana Dulce, Cundinamarca",Jerome Fischer,no score
